Timestamp,CH1_Vpp,CH1_Vavg,CH1_Vrms,CH2_Vpp,CH2_Vavg,CH2_Vrms,CH3_Vpp,CH3_Vavg,CH3_Vrms,CH4_Vpp,CH4_Vavg,CH4_Vrms
2025-07-14T19:39:16.971948,32.1651,0.1594,11.8626,1.2053,0.0305,0.1225,1.4953,-0.0012,0.1225,1.1111,0.0138,0.1194
2025-07-14T19:39:21.972050,31.6778,-0.6019,11.8392,1.1571,0.0281,0.1215,1.5436,0.0024,0.1246,1.1111,0.0166,0.1201
2025-07-14T19:39:26.972319,32.1651,0.2812,11.8142,1.1571,0.0274,0.1216,1.5436,0.0018,0.1211,1.0628,0.0128,0.1198
2025-07-14T19:39:31.972113,34.6018,0.3348,11.9072,1.1089,0.0267,0.1216,1.6400,0.0054,0.1249,1.0628,0.0130,0.1179
2025-07-14T19:39:36.972037,35.5765,0.3411,11.9089,1.1571,0.0239,0.1198,1.5436,0.0023,0.1234,0.9662,0.0106,0.1176
2025-07-14T19:39:41.972293,35.5765,0.2524,11.8991,1.1089,0.0201,0.1177,1.3988,0.0015,0.1223,1.0145,0.0159,0.1199
2025-07-14T19:39:46.972276,40.4501,0.0746,11.8850,1.1571,0.0244,0.1212,1.4953,0.0017,0.1230,1.0145,0.0175,0.1208
2025-07-14T19:39:51.972273,40.9374,0.3187,12.0317,1.1089,0.0235,0.1209,1.4953,0.0003,0.1220,1.1111,0.0091,0.1181
2025-07-14T19:39:56.972087,33.1398,0.3558,12.0369,1.1571,0.0256,0.1219,1.4953,0.0065,0.1221,1.0628,0.0209,0.1218
2025-07-14T19:40:01.972058,33.1398,0.3319,12.0718,1.1089,0.0309,0.1226,1.4953,0.0044,0.1229,1.0145,0.0115,0.1173
2025-07-14T19:40:06.972062,35.5765,0.1014,12.0113,1.1571,0.0307,0.1211,1.4953,0.0062,0.1234,1.0628,0.0194,0.1222
2025-07-14T19:40:11.972054,33.1398,0.2817,12.0444,1.1089,0.0296,0.1191,1.4471,-0.0046,0.1225,0.9662,0.0136,0.1179
2025-07-14T19:40:16.972158,37.5260,0.3075,12.0498,1.2053,0.0331,0.1215,1.4471,0.0036,0.1245,1.0628,0.0145,0.1198
2025-07-14T19:40:21.972349,41.4248,0.2164,11.7980,1.1089,0.0320,0.1216,1.4471,0.0025,0.1225,1.0628,0.0140,0.1203
2025-07-14T19:40:26.972061,32.1651,0.3665,11.8185,1.1571,0.0327,0.1215,1.4953,0.0022,0.1218,1.0145,0.0150,0.1189
2025-07-14T19:40:31.972258,31.6778,0.3431,11.8541,1.1089,0.0296,0.1211,1.4471,0.0045,0.1201,1.1594,0.0163,0.1202
2025-07-14T19:40:36.972295,34.6018,0.1808,11.8996,1.1571,0.0212,0.1205,1.4953,-0.0012,0.1235,1.0628,0.0142,0.1197
2025-07-14T19:40:41.972130,34.1145,0.2188,11.8772,1.2053,0.0303,0.1213,1.4953,0.0048,0.1226,1.0628,0.0153,0.1190
2025-07-14T19:40:46.972247,35.0892,0.2909,11.8685,1.1089,0.0276,0.1200,1.4953,-0.0023,0.1254,1.0628,0.0168,0.1200
2025-07-14T19:40:51.972298,40.9374,0.3231,11.8344,1.0125,0.0268,0.1190,1.4471,-0.0006,0.1251,1.1111,0.0171,0.1217
2025-07-14T19:40:56.972106,32.1651,-0.1550,11.7871,1.2535,0.0215,0.1207,1.4953,-0.0016,0.1217,1.1111,0.0136,0.1193
2025-07-14T19:41:01.972039,34.1145,0.1384,11.3103,1.1571,0.0263,0.1207,1.5436,0.0051,0.1217,1.1111,0.0173,0.1211
2025-07-14T19:41:06.972299,34.1145,0.3519,11.3284,1.2535,0.0337,0.1229,1.4953,0.0076,0.1235,1.1594,0.0207,0.1232
2025-07-14T19:41:11.972050,34.6018,0.4201,11.3003,1.1089,0.0331,0.1215,1.4953,0.0048,0.1231,1.1111,0.0168,0.1201
2025-07-14T19:41:16.972058,33.6272,0.4211,11.2940,1.1089,0.0305,0.1197,1.4953,-0.0002,0.1237,1.1111,0.0159,0.1202
2025-07-14T19:41:21.972063,39.4753,0.4060,11.3113,1.1571,0.0339,0.1221,1.5436,0.0036,0.1244,1.0628,0.0145,0.1197
2025-07-14T19:41:26.972063,33.6272,0.1457,11.2889,1.1571,0.0353,0.1221,1.4953,-0.0012,0.1221,1.0628,0.0227,0.1230
2025-07-14T19:41:31.972061,33.6272,0.3387,11.1657,1.1571,0.0291,0.1230,1.4471,0.0010,0.1223,1.1111,0.0155,0.1192
2025-07-14T19:41:36.972044,34.1145,0.3061,11.1516,1.1571,0.0249,0.1216,1.5918,0.0009,0.1237,1.0628,0.0109,0.1184
2025-07-14T19:41:41.972025,33.6272,0.3952,11.1840,1.1571,0.0279,0.1215,1.4471,-0.0000,0.1223,0.9662,0.0130,0.1189
2025-07-14T19:41:46.972071,34.1145,0.3382,11.1669,1.1089,0.0231,0.1196,1.4471,-0.0041,0.1236,1.0145,0.0098,0.1164
2025-07-14T19:41:51.972049,37.0386,0.3012,10.7819,1.1089,0.0256,0.1199,1.3024,-0.0028,0.1185,1.0628,0.0112,0.1182
2025-07-14T19:41:56.972067,40.9374,0.4011,10.7774,1.0125,0.0223,0.1192,1.4471,-0.0008,0.1229,1.0628,0.0102,0.1169
